2022-01-30: 2
2022-01-31: 6
2022-02-01: 8
2022-02-02: 3
2022-02-03: 8
2022-02-06: 5
2022-02-07: 10
2022-02-08: 7
2022-02-09: 4
2022-02-10: 3
2022-02-11: 5
2022-02-12: 6
2022-02-13: 4
2022-02-14: 7
2022-02-15: 11
2022-02-16: 9
2022-02-17: 3
2022-02-18: 4
2022-02-19: 3
2022-02-20: 3
2022-02-21: 4
2022-02-22: 8
2022-02-23: 3
2022-02-24: 2
2022-02-25: 12
2022-02-26: 7
2022-02-28: 1
2022-03-01: 10
2022-03-02: 4
2022-03-03: 18
2022-03-04: 6
2022-03-05: 20
2022-03-06: 11
2022-03-07: 4
2022-03-08: 14
2022-03-09: 3
2022-03-10: 5
2022-03-11: 1
2022-03-12: 2
2022-03-13: 1
2022-03-15: 6
2022-03-16: 2
2022-03-17: 3
2022-03-18: 11
2022-03-19: 3
2022-03-20: 21
2022-03-21: 7
2022-03-22: 8
2022-03-23: 11
2022-03-24: 15
2022-03-25: 15
2022-03-26: 16
2022-03-27: 7
2022-03-28: 15
2022-03-29: 13
2022-03-30: 17
2022-03-31: 12
2022-04-01: 15
2022-04-02: 9
2022-04-03: 7
2022-04-04: 9
2022-04-05: 11
2022-04-06: 8
2022-04-07: 14
2022-04-08: 16
2022-04-09: 12
2022-04-10: 11
2022-04-11: 12
2022-04-12: 17
2022-04-13: 17
2022-04-14: 10
2022-04-15: 17
2022-04-16: 16
2022-04-17: 29
2022-04-18: 18
2022-04-19: 20
2022-04-20: 25
2022-04-21: 10
2022-04-22: 22
2022-04-23: 21
2022-04-24: 24
2022-04-25: 23
2022-04-26: 14
2022-04-27: 7
2022-04-28: 33
2022-04-29: 26
2022-04-30: 34
2022-05-01: 14
2022-05-02: 23
2022-05-03: 23
2022-05-04: 31
2022-05-05: 16
2022-05-06: 26
2022-05-07: 20
2022-05-08: 24
2022-05-09: 29
2022-05-10: 12
2022-05-11: 22
2022-05-12: 11
2022-05-13: 24
2022-05-14: 52
2022-05-15: 55
2022-05-16: 51
2022-05-17: 57
2022-05-18: 43
2022-05-19: 54
2022-05-20: 42
2022-05-21: 76
2022-05-22: 67
2022-05-23: 50
2022-05-24: 44
2022-05-25: 47
2022-05-26: 38
2022-05-27: 34
2022-05-28: 72
2022-05-29: 44
2022-05-30: 40
2022-05-31: 36
2022-06-01: 21
2022-06-02: 16
2022-06-03: 41
2022-06-04: 46
2022-06-05: 35
2022-06-06: 20
2022-06-07: 39
2022-06-08: 39
2022-06-09: 37
2022-06-10: 44
2022-06-11: 31
2022-06-12: 38
2022-06-13: 36
2022-06-14: 17
2022-06-15: 31
2022-06-16: 18
2022-06-17: 29
2022-06-18: 41
2022-06-19: 42
2022-06-20: 26
2022-06-21: 25
2022-06-22: 29
2022-06-23: 29
2022-06-24: 30
2022-06-25: 37
2022-06-26: 18
2022-06-27: 26
2022-06-28: 29
2022-06-29: 23
2022-06-30: 14
2022-07-01: 21
2022-07-02: 27
2022-07-03: 25
2022-07-04: 5
2022-07-05: 3
2022-07-06: 20
2022-07-07: 29
2022-07-08: 29
2022-07-09: 12
2022-07-10: 13
2022-07-11: 31
2022-07-12: 12
2022-07-13: 21
2022-07-14: 26
2022-07-15: 28
2022-07-16: 19
2022-07-17: 20
2022-07-18: 25
2022-07-19: 20
2022-07-20: 15
2022-07-21: 14
2022-07-22: 17
2022-07-23: 14
2022-07-24: 26
2022-07-25: 22
2022-07-26: 21
2022-07-27: 16
2022-07-28: 14
2022-07-29: 17
2022-07-30: 17
2022-07-31: 23
2022-08-01: 40
2022-08-02: 12
2022-08-03: 25
2022-08-04: 22
2022-08-05: 23
2022-08-06: 19
2022-08-07: 17
2022-08-08: 19
2022-08-09: 19
2022-08-10: 16
2022-08-11: 8
2022-08-12: 15
2022-08-13: 19
2022-08-14: 20
2022-08-15: 18
2022-08-16: 22
2022-08-17: 15
2022-08-18: 15
2022-08-19: 14
2022-08-20: 27
2022-08-21: 23
2022-08-22: 24
2022-08-23: 28
2022-08-24: 33
2022-08-25: 33
2022-08-26: 25
2022-08-27: 21
2022-08-28: 18
2022-08-29: 34
2022-08-30: 25
2022-08-31: 15
2022-09-01: 13
2022-09-02: 28
2022-09-03: 31
2022-09-04: 25
2022-09-05: 22
2022-09-06: 22
2022-09-07: 15
2022-09-08: 18
2022-09-09: 18
2022-09-10: 20
2022-09-11: 21
2022-09-12: 23
2022-09-13: 7
2022-09-14: 19
2022-09-15: 12
2022-09-16: 7
2022-09-17: 20
2022-09-18: 33
2022-09-19: 16
2022-09-20: 10
2022-09-21: 20
2022-09-22: 11
2022-09-23: 25
2022-09-24: 36
2022-09-25: 28
2022-09-26: 8
2022-09-27: 7
2022-09-28: 5
2022-09-29: 17
2022-09-30: 18
2022-10-01: 19
2022-10-02: 17
2022-10-03: 30
2022-10-04: 10
2022-10-05: 15
2022-10-06: 12
2022-10-07: 34
2022-10-08: 16
2022-10-09: 16
2022-10-10: 8
2022-10-11: 9
2022-10-12: 20
2022-10-13: 11
2022-10-14: 22
2022-10-15: 30
2022-10-16: 17
2022-10-17: 16
2022-10-18: 9
2022-10-19: 34
2022-10-20: 15
2022-10-21: 13
2022-10-22: 23
2022-10-23: 18
2022-10-24: 7
2022-10-25: 7
2022-10-26: 7
2022-10-27: 7
2022-10-28: 12
2022-10-29: 25
2022-10-30: 20
2022-10-31: 12
2022-11-01: 21
2022-11-02: 11
2022-11-03: 13
2022-11-04: 19
2022-11-05: 24
2022-11-06: 19
2022-11-07: 13
2022-11-08: 34
2022-11-09: 19
2022-11-10: 23
